iter	Passed	Remaining
0	8	1716
1	16	1662
2	24	1618
3	31	1566
4	38	1520
5	45	1482
6	52	1445
7	59	1416
8	65	1392
9	72	1384
10	80	1380
11	87	1376
12	95	1379
13	103	1374
14	111	1376
15	118	1366
16	125	1351
17	132	1342
18	139	1329
19	146	1316
20	153	1309
21	161	1306
22	168	1294
23	175	1289
24	183	1287
25	191	1278
26	197	1267
27	205	1261
28	212	1251
29	219	1242
30	226	1232
31	232	1222
32	239	1212
33	246	1204
34	253	1193
35	260	1187
36	266	1175
37	273	1166
38	279	1155
39	287	1149
40	294	1141
41	301	1134
42	307	1123
43	314	1114
44	321	1107
45	330	1107
46	338	1101
47	345	1095
48	352	1086
49	359	1078
50	365	1068
51	372	1060
52	379	1053
53	386	1044
54	393	1036
55	400	1030
56	407	1023
57	414	1015
58	421	1007
59	428	999
60	435	992
61	441	983
62	448	975
63	455	967
64	462	960
65	469	952
66	476	945
67	483	939
68	491	932
69	497	924
70	504	917
71	511	909
72	519	903
73	525	895
74	533	889
75	540	882
76	547	874
77	555	868
78	563	863
79	570	856
80	577	849
81	584	841
82	591	834
83	599	828
84	607	821
85	615	815
86	622	808
87	629	801
88	636	793
89	644	787
90	653	782
91	660	775
92	667	767
93	673	759
94	680	752
95	688	745
96	695	738
97	702	730
98	709	723
99	716	716
100	723	709
101	729	701
102	736	694
103	744	687
104	753	681
105	760	674
106	766	666
107	773	658
108	780	651
109	786	643
110	793	636
111	800	628
112	807	621
113	814	614
114	820	606
115	827	598
116	834	591
117	841	584
118	854	581
119	862	574
120	868	567
121	876	560
122	882	552
123	889	545
124	897	538
125	904	531
126	911	524
127	919	516
128	925	509
129	932	502
130	939	495
131	947	487
132	954	481
133	961	473
134	968	466
135	975	458
136	981	451
137	987	443
138	995	436
139	1002	429
140	1009	422
141	1016	415
142	1023	407
143	1029	400
144	1036	393
145	1043	386
146	1050	378
147	1057	371
148	1064	364
149	1071	357
150	1079	350
151	1086	343
152	1094	336
153	1102	329
154	1109	322
155	1117	315
156	1125	308
157	1133	301
158	1140	294
159	1144	286
160	1152	279
161	1161	272
162	1168	265
163	1176	258
164	1184	251
165	1191	244
166	1198	236
167	1203	229
168	1211	222
169	1218	215
170	1226	208
171	1234	200
172	1241	193
173	1248	186
174	1255	179
175	1263	172
176	1270	165
177	1276	157
178	1283	150
179	1290	143
180	1296	136
181	1303	128
182	1310	121
183	1317	114
184	1327	107
185	1336	100
186	1345	93
187	1354	86
188	1362	79
189	1373	72
190	1382	65
191	1392	58
192	1403	50
193	1413	43
194	1422	36
195	1432	29
196	1441	21
197	1450	14
198	1458	7
199	1469	0
